country,species_count
United States,685
Australia,424
New Zealand,316
China,282
Japan,276
France,262
Italy,253
Spain,245
Canada,245
India,237
United Kingdom,232
South Africa,210
Mexico,210
Réunion,200
New Caledonia,197
French Polynesia,193
Germany,192
Russia,186
Portugal,186
Indonesia,180
Brazil,174
Netherlands,160
"Taiwan, Province of China",159
Puerto Rico,156
Turkey,154
Philippines,149
Argentina,148
Fiji,146
Poland,144
Malaysia,143
Belgium,139
Greece,138
Guam,137
Thailand,136
Czechia,135
Switzerland,134
Viet Nam,132
Austria,130
Sweden,129
Bermuda,129
Denmark,129
Romania,128
Hungary,127
Ecuador,125
Sri Lanka,124
Mauritius,121
Ukraine,119
Chile,117
Saint Helena,115
Bulgaria,114
Ireland,113
Peru,107
Norway,107
"Iran, Islamic Republic of",107
Guadeloupe,105
Morocco,103
Colombia,103
"Korea, Republic of",103
Israel,101
Cook Islands,100
Micronesia,99
Pakistan,99
Costa Rica,99
Papua New Guinea,99
Finland,98
Myanmar,98
Northern Mariana Islands,98
Palau,97
"Venezuela, Bolivarian Republic of",96
Madagascar,94
Kenya,93
Cuba,91
Albania,89
"Tanzania, United Republic of",87
Lithuania,87
Singapore,87
Solomon Islands,87
Latvia,86
Martinique,86
Georgia,85
"Korea, Democratic People's Republic of",85
Tonga,85
Panama,84
Egypt,84
Algeria,84
Belarus,83
Samoa,82
Estonia,82
Bahamas,81
Saint Lucia,79
"Bolivia, Plurinational State of",79
Nepal,79
Jamaica,77
American Samoa,77
Marshall Islands,76
Hong Kong,76
Guatemala,75
Uruguay,74
Azerbaijan,73
United States Virgin Islands,72
Dominican Republic,72
Mayotte,71
Tunisia,70
Cambodia,69
Seychelles,68
Honduras,66
Kuwait,66
Vanuatu,66
Kazakhstan,66
"Moldova, Republic of",65
Paraguay,65
Niue,65
Kiribati,65
Croatia,64
Bangladesh,64
Cyprus,63
Eswatini,63
Slovakia,63
Afghanistan,63
Nigeria,63
Syrian Arab Republic,62
Falkland Islands (Malvinas),60
Trinidad and Tobago,59
Armenia,59
Ghana,58
Lebanon,58
Slovenia,58
Anguilla,58
Uganda,57
Cayman Islands,56
Ethiopia,56
Lao People's Democratic Republic,55
Cameroon,55
Zimbabwe,55
Belize,54
Iraq,54
Nicaragua,54
Wallis and Futuna,53
Antarctica,52
El Salvador,51
Guyana,51
French Guiana,50
United States Minor Outlying Islands,50
Senegal,50
Saudi Arabia,50
Mozambique,50
Turkmenistan,49
Sudan,49
Bhutan,48
Jordan,47
Haiti,47
Uzbekistan,45
Côte d'Ivoire,43
Nauru,42
Suriname,42
Libya,40
Mongolia,40
British Indian Ocean Territory,40
Zambia,39
Antigua and Barbuda,39
Norfolk Island,39
Kyrgyzstan,39
British Virgin Islands,39
Barbados,38
Namibia,37
Saint Martin,36
Angola,36
Pitcairn,36
Guinea,35
Turks and Caicos Islands,35
Bosnia and Herzegovina,35
Grenada,34
Saint Vincent and the Grenadines,34
Dominica,34
Iceland,34
Christmas Island,32
Botswana,31
Sierra Leone,31
Benin,30
Montserrat,30
Tajikistan,30
Malta,29
Malawi,29
United Arab Emirates,29
Somalia,29
Burkina Faso,28
Liberia,28
Gibraltar,28
Saint Kitts and Nevis,28
Togo,28
Saint Pierre and Miquelon,26
Oman,26
"Congo, The Democratic Republic of the",26
North Macedonia,25
Maldives,25
Gabon,25
Yemen,25
Mali,24
Montenegro,24
Serbia,24
Brunei Darussalam,24
Saint Barthélemy,23
Mauritania,23
Gambia,23
Tuvalu,22
Lesotho,21
Central African Republic,21
Liechtenstein,20
Congo,20
Greenland,20
"Bonaire, Sint Eustatius and Saba",20
Comoros,20
Faroe Islands,19
Guinea-Bissau,19
Chad,19
Cabo Verde,19
Isle of Man,18
Luxembourg,18
Eritrea,17
Niger,17
Burundi,16
Tokelau,16
Rwanda,15
Sao Tome and Principe,15
Aruba,15
Bahrain,14
Timor-Leste,13
Equatorial Guinea,13
Djibouti,12
Jersey,10
Macao,8
Qatar,8
Svalbard and Jan Mayen,7
Guernsey,7
Andorra,6
Palestine,6
Western Sahara,5
Monaco,5
San Marino,4
Sint Maarten (Dutch part),3
Holy See (Vatican City State),1
