Species,Country,Kingdom,Phylum,System,Native_Regions
Abelmoschus moschatus,"American_samoa, Australia, China, Cook_islands, Fiji, French_guiana, French_polynesia, Guadeloupe, Guam, India, Indonesia, Japan, Malaysia, Martinique, Micronesia, Niue, Northern_mariana_islands, Palau, Reunion, Samoa, Tonga, United_states, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Cambodia, Chinese Taipei, Colombia"
Abrus precatorius,"Australia, Bahamas, Bangladesh, Botswana, Cambodia, Cayman_islands, China, Ecuador, Fiji, French_polynesia, Guam, Honduras, India, Indonesia, Japan, Kenya, Laos, Madagascar, Malaysia, Mauritius, Mexico, Micronesia, Myanmar, Namibia, New_calcedonia, Niger, Northern_mariana_islands, Pakistan, Palau, Papua_new_guinea, Philippines, Puerto_rico, Rwanda, Seychelles, South_africa, Sri_lanka, Sudan, Swaziland, Taiwan, Tanzania, Thailand, Togo, Uganda, United_states, Vietnam, Virgin_islands_us, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Brazil, Chinese Taipei, Colombia, Seychelles, Tonga"
Acacia auriculiformis,"American_samoa, Bahamas, Bangladesh, Benin, Brazil, Brunei_darussalam, Burundi, Cambodia, Cameroon, China, Comoros, Cook_islands, Cote_d'ivoire, Cuba, Democratic_republic_of_congo, Fiji, Ghana, Haiti, India, Jamaica, Laos, Madagascar, Malaysia, Marshall_islands, Micronesia, Myanmar, Nigeria, Palau, Philippines, Saint_vincent_and_the_grenadines, Samoa, Senegal, Sierra_leone, Singapore, Solomon_islands, Sri_lanka, Tanzania, Thailand, Tonga, Trinidad_and_tabago, Vanauatu, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Indonesia, Papua New Guinea, United States of America"
Acacia concinna,"New_calcedonia, Reunion",Plantae,Magnoliophyta,Terrestrial,
Acacia confusa,"China, Guam, Indonesia, Japan, Malaysia, Mauritius, Micronesia, Northern_mariana_islands, Palau, Philippines, Seychelles, Taiwan, United_states",Plantae,Magnoliophyta,Terrestrial,"China, Chinese Taipei"
Acacia crassicarpa,Indonesia,Plantae,Magnoliophyta,Terrestrial,"Australia, Papua New Guinea"
Acacia cyclops,South_africa,Plantae,Magnoliophyta,Terrestrial,Australia
Acacia dealbata,"Chile, Italy, Portugal, South_africa, Spain",Plantae,Magnoliophyta,Terrestrial,"Australia, New Zealand"
Acacia decurrens,"Algeria, Ethiopia, Indonesia",Plantae,Magnoliophyta,Terrestrial,Australia
Acacia farnesiana,"Anguilla, Antigua_and_barbuda, Australia, Bahamas, Barbados, Belize, Bes_islands, Bolivia, Brazil, Cambodia, Cayman_islands, China, Colombia, Cook_islands, Costa_rica, Cuba, Dominica, El_salvador, Fiji, France, French_guiana, French_polynesia, Georgia, Grenada, Guadeloupe, Guam, Guatemala, Guyana, Honduras, India, Indonesia, Italy, Jamaica, Japan, Kenya, Kiribati, Malaysia, Martinique, Mauritius, Mayotte, Mexico, Montserrat, Nauru, New_calcedonia, Nicaragua, Niue, Northern_mariana_islands, Pakistan, Panama, Peru, Philippines, Portugal, Puerto_rico, Reunion, Saint_helena, Saint_kitts_and_nevis, Saint_lucia, Saint_vincent_and_the_grenadines, Seychelles, Solomon_islands, Spain, Suriname, Taiwan, Thailand, United_states, Vanauatu, Venezuela, Vietnam, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Chinese Taipei, Colombia, Ecuador, Mexico, Nicaragua, Paraguay, Timor-Leste, United States of America, Venezuela (Bolivarian Republic of)"
Acacia holosericea,"Burkina_faso, Senegal",Plantae,Magnoliophyta,Terrestrial,Australia
Acacia longifolia,"Argentina, Australia, Brazil, Colombia, Dominican_republic, India, Indonesia, Israel, Italy, Kenya, Mauritius, Myanmar, New_zealand, Portugal, Reunion, South_africa, Spain, Sri_lanka, United_states, Uruguay",Plantae,Magnoliophyta,Terrestrial,"Australia, Colombia"
Acacia mangium,"Australia, Bangladesh, Brazil, Cameroon, China, Costa_rica, French_guiana, Indonesia, Laos, Malaysia, Mayotte, Myanmar, Nepal, Papua_new_guinea, Philippines, Thailand, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, Papua New Guinea"
Acacia mearnsii,"Algeria, Australia, China, Cook_islands, France, India, Israel, Italy, Japan, Madagascar, New_zealand, Portugal, Reunion, Saint_helena, Seychelles, South_africa, Spain, Swaziland, Taiwan, Tanzania, Uganda, United_states, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, Timor-Leste"
Acacia melanoxylon,"Argentina, Australia, Belgium, Bhutan, Bolivia, Brazil, Chile, China, Colombia, Ethiopia, France, India, Kenya, Lesotho, Mauritius, New_calcedonia, New_zealand, Pakistan, Peru, Portugal, Reunion, Saint_helena, South_africa, Spain, Sri_lanka, Swaziland, Tanzania, United_states, Uruguay, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Australia, Spain"
Acacia nilotica,"Anguilla, Ecuador, French_polynesia, Guadeloupe, Martinique, New_calcedonia, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, India, South Africa, Timor-Leste"
Acacia pycnantha,"Algeria, Australia, France, India, Italy, Libya, New_zealand, Portugal, Saint_helena, South_africa, United_states",Plantae,Magnoliophyta,Terrestrial,Australia
Acacia retinodes,"Australia, Cyprus, Ethiopia, France, Gibraltar, India, Indonesia, Italy, Mauritius, New_zealand, Portugal, Romania, Russia, South_africa, Spain, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,Australia
Acacia saligna,"Algeria, Australia, Chile, Cyprus, Egypt, Ethiopia, France, Greece, Iran, Iraq, Israel, Italy, Jordan, Libya, Malta, Mexico, Morocco, Portugal, South_africa, Spain, Syrian_arab_republic, Tunisia, Turkey, United_states, Uruguay",Plantae,Magnoliophyta,Terrestrial,"Australia, South Africa, Spain, United States of America"
Acacia sclerosperma,Saudi_arabia,Plantae,Tracheophyta,Terrestrial,Australia
